timestamp,open,high,low,close,volume
2020-01-30,9.2500,9.2500,8.7300,9.0000,1593400
2020-01-29,9.8000,9.9300,9.3000,9.3000,949300
2020-01-28,9.3100,9.8000,9.2300,9.8000,576400
2020-01-27,9.5800,9.7000,9.1700,9.3100,893800
2020-01-23,10.3100,10.3900,9.9100,9.9500,955600
2020-01-22,10.3200,10.4400,10.1600,10.2700,778600
2020-01-21,10.2000,10.6600,10.0700,10.2100,1701900
2020-01-20,10.0200,10.1700,9.9200,10.1500,628400
2020-01-17,10.1500,10.1800,9.8500,10.0000,650400
2020-01-16,10.0000,10.3000,10.0000,10.0000,1047300
2020-01-15,10.0000,10.0400,9.9100,9.9800,562900
2020-01-14,10.1000,10.1000,9.8900,9.9900,923100
2020-01-13,9.9000,10.1600,9.8200,10.0000,976200
2020-01-10,9.7600,10.2900,9.7600,9.8000,2397100
2020-01-09,9.4800,9.7800,9.3600,9.6000,1319500
2020-01-08,9.4300,9.5400,9.1800,9.3400,649900
2020-01-07,9.4500,9.5400,9.2300,9.4500,768400
2020-01-06,9.6000,9.6400,9.1300,9.2100,902600
2020-01-03,9.3100,9.6800,9.2000,9.4800,1526300
2020-01-02,9.5800,9.6500,9.4200,9.4700,1962100
2019-12-30,9.7400,9.8300,9.5300,9.5900,377000
2019-12-27,10.0000,10.1300,9.4300,9.5200,810700
2019-12-26,9.8000,10.0000,9.8000,9.8200,584000
2019-12-23,9.7800,10.0500,9.5500,9.8000,638600
2019-12-20,10.0400,10.0700,8.9200,9.6000,2473300
2019-12-19,10.0900,10.1200,9.8500,9.9800,643900
2019-12-18,9.5800,10.2600,9.5200,10.0000,858900
2019-12-17,9.9200,10.3700,9.5100,9.5100,799300
2019-12-16,9.6000,10.2400,9.5800,9.9000,1356700
2019-12-13,9.1500,9.6700,9.0500,9.4900,1668200
2019-12-12,8.9900,9.3500,8.9700,9.0600,890600
2019-12-11,8.9000,9.3200,8.8600,8.8600,1078200
2019-12-10,8.7800,8.9000,8.6300,8.9000,339700
2019-12-09,8.9700,9.0700,8.7600,8.7900,621800
2019-12-06,8.7200,8.9500,8.7000,8.8900,480900
2019-12-05,8.6400,8.7300,8.5000,8.7300,337300
2019-12-04,8.5700,8.7400,8.4700,8.6500,516500
2019-12-03,8.4800,8.7000,8.2900,8.5700,529100
2019-12-02,8.3400,8.4800,8.2500,8.4000,695800
2019-11-29,8.2900,8.5000,8.2000,8.3200,1126700
2019-11-28,8.2500,8.3700,8.2000,8.3100,287400
2019-11-27,8.5000,8.5000,8.2400,8.2400,365300
2019-11-26,8.5700,8.5700,8.1700,8.5000,474900
2019-11-25,8.0000,8.6100,7.9700,8.5800,782400
2019-11-22,8.1700,8.4500,7.9400,7.9400,785400
2019-11-21,8.1400,8.2400,7.9400,8.1400,398700
2019-11-19,8.1100,8.1400,7.9000,8.0800,333900
2019-11-18,8.0500,8.3400,7.9100,8.0000,659600
2019-11-14,8.0100,8.0600,7.8000,8.0400,598000
2019-11-13,7.7000,8.0500,7.4100,7.9900,541300
2019-11-12,7.9100,7.9400,7.5900,7.6700,295000
2019-11-11,7.9700,8.0000,7.8500,7.8900,181800
2019-11-08,8.0300,8.0300,7.7000,8.0000,482000
2019-11-07,7.8100,8.1300,7.7300,8.0600,423700
2019-11-06,7.8500,7.9200,7.8100,7.8100,583800
2019-11-05,7.7900,7.9800,7.7200,7.8500,1064800
2019-11-04,7.9900,8.2000,7.7000,7.7000,1191300
2019-11-01,7.4600,7.8500,7.4000,7.8500,926100
2019-10-31,7.2800,7.4300,7.1100,7.4300,1385300
2019-10-30,7.4500,7.4500,7.1600,7.2000,2269300
2019-10-29,7.6600,7.7400,7.3500,7.4500,395500
2019-10-28,7.2900,7.6500,7.2100,7.6200,471200
2019-10-25,7.2900,7.2900,7.1500,7.2800,288900
2019-10-24,7.4400,7.5000,7.1300,7.2300,303800
2019-10-23,7.5900,7.6300,7.3500,7.3800,377100
2019-10-22,7.7300,7.8000,7.5300,7.5700,329400
2019-10-21,7.3200,7.8300,7.2000,7.6800,664300
2019-10-18,7.3500,7.3700,7.2000,7.2000,331200
2019-10-17,7.4266,7.4266,7.0989,7.3173,483756
2019-10-16,7.3571,7.4464,7.2478,7.3173,208288
2019-10-15,7.5556,7.5755,7.3074,7.3670,361382
2019-10-14,7.5457,7.8436,7.4563,7.4861,505008
2019-10-11,7.0989,7.6251,7.0691,7.4861,914635
2019-10-10,7.3273,7.4266,6.9897,6.9897,597469
2019-10-09,7.5060,7.7046,7.2876,7.3173,497353
2019-10-08,7.7046,7.7145,7.4067,7.4266,531195
2019-10-07,7.8336,7.8634,7.6847,7.7443,231756
2019-10-04,7.7641,8.0024,7.6450,7.9428,329454
2019-10-03,7.7145,7.8038,7.5060,7.7641,323411
2019-10-02,7.8138,7.8336,7.6351,7.6648,275267
2019-10-01,7.9230,7.9826,7.6450,7.9329,307598
2019-09-30,7.9528,7.9925,7.8138,7.9131,473483
2019-09-27,8.1911,8.2407,7.9230,7.9428,230144
2019-09-26,7.9329,8.2407,7.7840,8.1911,353022
