timestamp,open,high,low,close,volume
2020-01-30,2.6500,2.6500,2.4600,2.5200,647300
2020-01-29,2.7400,2.8200,2.6700,2.6700,383900
2020-01-28,2.8100,2.9100,2.7000,2.7300,494800
2020-01-27,2.7900,2.8500,2.7500,2.7500,448800
2020-01-23,2.7200,3.1300,2.7200,3.0300,2740700
2020-01-22,2.6600,2.8000,2.5300,2.7700,630300
2020-01-21,2.8200,2.8400,2.6500,2.6800,630000
2020-01-20,2.8100,2.8600,2.7600,2.8200,421200
2020-01-17,2.8600,2.8900,2.7700,2.8000,309200
2020-01-16,2.7700,2.9400,2.7700,2.8200,839100
2020-01-15,2.8300,2.8700,2.7200,2.7800,618000
2020-01-14,2.9000,2.9600,2.7900,2.8400,967400
2020-01-13,2.9000,2.9500,2.8000,2.8700,929300
2020-01-10,3.0000,3.1300,2.7700,2.8000,1769800
2020-01-09,2.6000,3.0300,2.5700,2.9300,2016300
2020-01-08,2.7800,2.8400,2.5300,2.5400,1119900
2020-01-07,3.1700,3.1800,2.6500,2.7700,2704800
2020-01-06,2.5300,3.1500,2.5000,3.0700,4021600
2020-01-03,2.1900,2.6700,2.0900,2.6300,3509300
2020-01-02,1.9500,2.1400,1.9500,2.1100,1067700
2019-12-30,1.9000,1.9000,1.8400,1.8900,122600
2019-12-27,1.9300,1.9400,1.8400,1.8600,261600
2019-12-26,1.7600,1.9500,1.7500,1.8500,721400
2019-12-23,1.8300,1.8700,1.7200,1.7400,456000
2019-12-20,1.8300,1.8700,1.7800,1.8300,297200
2019-12-19,1.8800,1.9500,1.7600,1.8100,821000
2019-12-18,2.0500,2.2000,1.8200,1.8600,2793800
2019-12-17,1.7400,2.0500,1.6400,2.0300,2677200
2019-12-16,1.5600,1.7800,1.5400,1.6800,1327000
2019-12-13,1.5200,1.5700,1.5200,1.5400,325700
2019-12-12,1.5800,1.6100,1.4900,1.5000,836300
2019-12-11,1.4100,1.5500,1.3900,1.5500,948400
2019-12-10,1.4100,1.4200,1.3900,1.3900,65100
2019-12-09,1.4000,1.4200,1.3800,1.4100,87900
2019-12-06,1.4200,1.4200,1.3800,1.4000,129700
2019-12-05,1.4600,1.4600,1.3800,1.3900,270700
2019-12-04,1.4000,1.4500,1.3800,1.4500,189000
2019-12-03,1.4000,1.4100,1.3800,1.4000,156200
2019-12-02,1.3800,1.4200,1.3700,1.4100,111800
2019-11-29,1.4200,1.4200,1.3700,1.3700,205800
2019-11-28,1.4200,1.4400,1.4000,1.4200,84500
2019-11-27,1.4500,1.4500,1.4100,1.4300,105500
2019-11-26,1.4400,1.4600,1.4300,1.4400,53100
2019-11-25,1.4400,1.4600,1.4300,1.4500,52100
2019-11-22,1.4600,1.4700,1.4400,1.4500,45500
2019-11-21,1.4600,1.4700,1.4500,1.4600,62200
2019-11-19,1.4800,1.4800,1.4300,1.4600,86900
