timestamp,open,high,low,close,volume
2020-01-30,9.5600,9.5600,8.6400,9.2900,666300
2020-01-29,10.3400,10.4700,9.6400,9.7800,284500
2020-01-28,11.0000,11.0000,9.6200,10.1100,679000
2020-01-27,10.4000,11.8700,9.9700,10.4100,1291000
2020-01-23,8.7900,9.2500,8.5600,9.1200,185200
2020-01-22,8.9700,8.9700,8.6600,8.9000,137800
2020-01-21,9.1200,9.1200,8.9000,9.0200,144600
2020-01-20,9.1800,9.1900,9.0000,9.0600,171400
2020-01-17,9.0800,9.2600,9.0300,9.0800,109100
2020-01-16,9.2000,9.3500,9.0100,9.1400,108600
2020-01-15,9.3800,9.5200,9.1700,9.2600,259300
2020-01-14,9.2900,9.7000,9.1100,9.2800,333100
2020-01-13,9.1000,9.3000,9.0100,9.3000,309000
2020-01-10,9.1600,9.3800,9.0500,9.1500,240200
2020-01-09,9.4800,9.5800,9.0800,9.1500,351800
2020-01-08,9.3300,9.6000,8.9500,9.2400,398900
2020-01-07,9.1500,9.4400,8.8600,9.4100,381500
2020-01-06,9.5000,9.7200,8.8900,9.0600,492500
2020-01-03,9.5000,10.1300,9.3200,9.5000,612900
2020-01-02,9.0800,9.5900,8.5000,9.5600,521300
2019-12-30,10.1500,10.3500,9.1100,9.1700,863900
2019-12-27,9.0000,10.5800,9.0000,9.3100,1609800
2019-12-26,6.5700,9.1500,6.3400,8.5500,841000
2019-12-23,5.5500,6.6200,5.4500,6.5100,465200
2019-12-20,5.8900,5.9900,5.5600,5.5600,325000
2019-12-19,5.9500,6.1600,5.4500,5.8700,448900
2019-12-18,6.0500,6.1600,5.8100,5.9700,290000
2019-12-17,6.1000,6.2200,5.7400,6.0500,672300
2019-12-16,5.4600,6.1000,5.4400,6.1000,925300
2019-12-13,4.7600,5.4200,4.6200,5.3800,805800
2019-12-12,4.9000,4.9300,4.6400,4.6900,190600
2019-12-11,4.7900,4.9400,4.7600,4.8700,94300
2019-12-10,4.8600,5.0000,4.6000,4.7900,260400
2019-12-09,4.4800,5.1000,4.3000,4.8600,916400
2019-12-06,3.9500,4.5600,3.9200,4.4400,623700
2019-12-05,3.9000,3.9200,3.8400,3.8900,43100
2019-12-04,3.9500,4.0300,3.8800,3.9000,75600
2019-12-03,3.8300,3.9300,3.8300,3.9300,37500
2019-12-02,3.8400,3.8700,3.8300,3.8300,22200
2019-11-29,3.8700,3.8900,3.8400,3.8400,24600
2019-11-28,3.8600,3.8900,3.8300,3.8800,21800
2019-11-27,3.8500,3.8500,3.7700,3.8400,31200
2019-11-26,3.8500,3.8500,3.7800,3.8500,63500
2019-11-25,3.8500,3.8800,3.8100,3.8100,42000
2019-11-22,3.8500,3.9000,3.8500,3.8800,25100
2019-11-21,3.8500,3.8500,3.7900,3.8500,74300
2019-11-19,3.9800,3.9900,3.8500,3.8500,57300
2019-11-18,4.0500,4.0500,3.9000,3.9200,70400
2019-11-14,4.0200,4.0300,3.8200,4.0300,164200
2019-11-13,4.1700,4.1700,4.0400,4.0500,48100
2019-11-12,4.1900,4.2100,4.0300,4.0400,50300
2019-11-11,3.9600,4.1900,3.9500,4.1300,114800
2019-11-08,3.9800,4.0100,3.9300,3.9600,46400
2019-11-07,4.0000,4.0700,3.9500,3.9900,92500
2019-11-06,4.0800,4.0800,3.9000,3.9700,67400
2019-11-05,4.0600,4.1600,4.0000,4.0300,68800
2019-11-04,3.8800,4.1200,3.8300,4.0900,156200
2019-11-01,3.7700,3.8900,3.7700,3.8800,52700
2019-10-31,3.7800,3.9500,3.7600,3.7600,109200
2019-10-30,3.7500,3.8200,3.6800,3.7800,60600
2019-10-29,3.7300,3.7500,3.6900,3.7500,9500
2019-10-28,3.7000,3.7200,3.6800,3.7100,6600
2019-10-25,3.6800,3.7200,3.6600,3.6800,41500
2019-10-24,3.7700,3.7700,3.6600,3.6600,70900
2019-10-23,3.8200,3.8300,3.7400,3.7500,85100
2019-10-22,3.8100,3.8400,3.7500,3.8100,58000
2019-10-21,3.8000,3.8800,3.7900,3.7900,23900
2019-10-18,3.7800,3.8700,3.7700,3.8300,22400
2019-10-17,3.7700,3.8500,3.7700,3.8000,29400
2019-10-16,3.8000,3.8300,3.7500,3.7700,24600
2019-10-15,3.9200,4.0000,3.7200,3.7800,486900
2019-10-14,3.7900,3.9500,3.7700,3.8300,62500
2019-10-11,3.7400,3.7800,3.7300,3.7700,10800
2019-10-10,3.6700,3.7900,3.6700,3.7000,26700
2019-10-09,3.7600,3.8400,3.6000,3.6500,167100
2019-10-08,3.8600,3.8800,3.7000,3.7100,98700
2019-10-07,4.0300,4.0300,3.7900,3.7900,43600
2019-10-04,3.9600,4.0100,3.9300,3.9300,70100
2019-10-03,4.0000,4.0200,3.9300,3.9300,60000
2019-10-02,4.0200,4.0200,3.9600,3.9800,64100
2019-10-01,4.0300,4.1500,4.0000,4.0000,75000
2019-09-30,4.1400,4.1500,4.0100,4.0100,98200
2019-09-27,4.1400,4.1600,4.1300,4.1600,13500
2019-09-26,4.2500,4.2600,4.1500,4.1500,23600
2019-09-25,4.1600,4.2500,4.1000,4.2400,42200
2019-09-24,4.2000,4.2100,4.1500,4.1500,23300
2019-09-23,4.2500,4.2600,4.1800,4.2000,17600
2019-09-20,4.1800,4.2700,4.1700,4.2000,28700
2019-09-19,4.3100,4.4400,4.1700,4.2400,98100
2019-09-18,4.2800,4.5000,4.2100,4.2900,117100
2019-09-17,4.2600,4.3200,4.2400,4.2500,20900
2019-09-16,4.2300,4.3000,4.1600,4.2000,43200
2019-09-13,4.5000,4.5700,4.2200,4.2200,210700
2019-09-12,4.2500,4.5400,4.2200,4.4600,126300
2019-09-11,4.2000,4.2700,4.1600,4.2300,33800
2019-09-10,4.2900,4.2900,4.0700,4.1900,76300
2019-09-09,4.2500,4.2500,4.0900,4.1800,53900
2019-09-06,4.2900,4.3300,4.1100,4.2200,66900
2019-09-05,4.3900,4.3900,4.2200,4.2200,39100
2019-09-04,4.3900,4.4800,4.2000,4.2100,168500
2019-09-03,4.6100,4.6100,4.3800,4.3800,70500
2019-09-02,4.3800,4.6800,4.3700,4.5600,622700
2019-08-30,4.4500,4.5700,4.3100,4.3800,51900
2019-08-29,4.2500,4.4200,4.2500,4.3700,45100
2019-08-28,4.1100,4.2400,4.0700,4.1800,36900
2019-08-27,3.9800,4.1200,3.9800,4.1200,402000
2019-08-26,4.1000,4.1100,3.9400,4.0400,142300
2019-08-23,4.1800,4.2100,3.9300,4.0500,121200
2019-08-22,4.2900,4.2900,4.0900,4.2400,51600
2019-08-21,4.0000,4.3900,3.9700,4.1600,234700
2019-08-20,4.2500,4.3000,3.8800,3.9200,236000
2019-08-19,4.4700,4.4800,4.2700,4.2800,104500
