timestamp,open,high,low,close,volume
2020-01-30,8.3500,8.7800,7.9000,8.1500,187600
2020-01-29,9.1000,9.1000,8.5800,8.6500,68900
2020-01-28,8.8200,9.2000,8.3000,8.6600,251200
2020-01-27,8.4100,9.4300,8.1100,8.8000,627200
2020-01-23,7.8200,7.9900,7.5200,7.9100,82400
2020-01-22,8.1900,8.1900,7.8300,7.9900,71500
2020-01-21,8.3500,8.3500,7.8900,7.9900,148500
2020-01-20,8.2400,8.3800,8.1500,8.2700,108700
2020-01-17,8.2500,8.3000,8.1200,8.2400,43500
2020-01-16,8.4100,8.4100,8.1200,8.1200,41300
2020-01-15,8.2600,8.3200,8.1200,8.3200,55500
2020-01-14,8.1100,8.3900,8.1000,8.2600,88300
2020-01-13,8.1300,8.2500,8.0900,8.1800,94200
2020-01-10,8.2600,8.3100,8.0200,8.0600,110100
2020-01-09,8.0500,8.5500,8.0300,8.1600,241800
2020-01-08,8.1100,8.1500,7.8100,8.0000,244200
2020-01-07,8.0500,8.2500,8.0000,8.1000,95700
2020-01-06,7.9500,8.2500,7.9100,8.0000,131900
2020-01-03,7.6500,8.4100,7.5500,8.0200,529400
2020-01-02,7.5100,7.9200,7.5100,7.8500,270300
2019-12-30,7.2000,7.4000,7.1800,7.3500,121400
2019-12-27,7.7000,7.8500,7.0000,7.0800,298400
2019-12-26,7.2000,7.4300,7.0000,7.3000,336800
2019-12-23,6.3600,6.9000,6.1000,6.8300,154700
2019-12-20,6.5500,6.6200,6.3600,6.3600,67900
2019-12-19,6.9400,6.9400,6.4000,6.5500,193000
2019-12-18,6.9600,7.2000,6.8200,6.9400,228500
2019-12-17,7.2600,7.5100,6.9000,6.9200,387600
2019-12-16,6.8400,7.5000,6.7000,7.2500,804000
2019-12-13,6.0700,6.7800,6.0700,6.5500,453800
2019-12-12,6.0000,6.1700,5.9600,6.0900,133500
2019-12-11,5.9000,6.1700,5.9000,5.9700,185400
2019-12-10,6.0200,6.2400,5.6200,5.8400,350700
2019-12-09,6.0300,6.7900,5.8500,6.0000,1139700
2019-12-06,5.1100,6.1700,5.1100,5.8200,781300
2019-12-05,5.0000,5.1300,5.0000,5.0800,33400
2019-12-04,5.0400,5.1300,4.9500,5.0100,100500
2019-12-03,4.9800,5.1300,4.9800,5.0400,228600
2019-12-02,4.9400,5.0100,4.9100,4.9600,36000
2019-11-29,4.9500,4.9600,4.9100,4.9300,26700
2019-11-28,4.9400,4.9600,4.9000,4.9500,20100
2019-11-27,4.9600,4.9600,4.9100,4.9200,22300
2019-11-26,5.0200,5.0200,4.9200,4.9200,24500
2019-11-25,4.9900,5.0200,4.9600,5.0000,19000
2019-11-22,5.1300,5.1300,4.8800,4.9900,115100
2019-11-21,5.1000,5.1600,5.0100,5.0700,47800
2019-11-19,5.0600,5.1900,5.0100,5.1100,38200
2019-11-18,5.1900,5.1900,5.0300,5.0300,65500
2019-11-14,5.1100,5.1500,5.0500,5.1200,25400
2019-11-13,5.0500,5.1200,5.0300,5.0600,22500
2019-11-12,5.0800,5.1800,5.0500,5.0800,41000
2019-11-11,5.1500,5.2000,5.1400,5.1800,11600
2019-11-08,5.2200,5.2200,5.1500,5.1500,22100
2019-11-07,5.1900,5.2500,5.1500,5.2100,38600
2019-11-06,5.1800,5.2300,5.1500,5.1600,42700
2019-11-05,5.3000,5.3300,5.1600,5.1700,32000
2019-11-04,5.5000,5.5000,5.2400,5.3000,50000
2019-11-01,5.2600,5.4200,5.1400,5.3400,58000
2019-10-31,5.4300,5.4300,5.2100,5.2600,32200
2019-10-30,5.1600,5.5100,5.1300,5.3500,125000
2019-10-29,5.1000,5.1700,5.0700,5.1300,32800
2019-10-28,5.0800,5.1100,5.0500,5.0800,19100
2019-10-25,5.1900,5.1900,5.0100,5.0800,46800
2019-10-24,5.1600,5.1700,5.1000,5.1400,25700
2019-10-23,5.2600,5.2600,5.1600,5.1600,17200
2019-10-22,5.1900,5.2700,5.1500,5.2100,59300
2019-10-21,5.1800,5.2100,5.1800,5.2100,13400
2019-10-18,5.2000,5.2100,5.1600,5.2100,11200
2019-10-17,5.1800,5.2500,5.1700,5.1700,27500
2019-10-16,5.2100,5.2100,5.1600,5.1800,20400
